complex_id	uniprot_a	uniprot_b	combined_score
P62995	P62995	Q86V81	1
P62995	P62995	Q86W42	1
P62995	P62995	Q8IYB3	1
P62995	P62995	Q8NI27	1
P62995	P62995	Q8WUQ7	1
P62995	P62995	Q8WVK2	1
P62995	P62995	Q8WWY3	1
P62995	P62995	Q8WYA6	1
P62995	P62995	Q92620	1
P62995	P62995	Q92841	1
P62995	P62995	Q96BP3	1
P62995	P62995	Q96DF8	1
P62995	P62995	Q96DI7	1
P62995	P62995	Q96FV9	1
P62995	P62995	Q96I25	1
P62995	P62995	Q96J01	1
P62995	P62995	Q96T37	1
P62995	P62995	Q96T58	1
P62995	P62995	Q99459	1
P62995	P62995	Q99633	1
P62995	P62995	Q9BQ61	1
P62995	P62995	Q9BRD0	1
P62995	P62995	Q9BUQ8	1
P62995	P62995	Q9BXP5	1
P62995	P62995	Q9BZJ0	1
P62995	P62995	Q9H2H8	1
P62995	P62995	Q9HCE1	1
P62995	P62995	Q9HCG8	1
P62995	P62995	Q9HCS7	1
P62995	P62995	Q9NW64	1
P62995	P62995	Q9NYV4	1
P62995	P62995	Q9P013	1
P62995	P62995	Q9UBB9	1
P62995	P62995	Q9UHX1	1
P62995	P62995	Q9UJV9	1
P62995	P62995	Q9UK45	1
P62995	P62995	Q9UKV3	1
P62995	P62995	Q9ULR0	1
P62995	P62995	Q9UMS4	1
P62995	P62995	Q9UNP9	1
P62995	P62995	Q9UQ35	1
P62995	P62995	Q9Y2W2	1
P62995	P62995	Q9Y333	1
P62995	P62995	Q9Y3B4	1
P62995	P62995	Q9Y3C6	1
P62995	P62995	Q9Y4Z0	1
P62995	P62995	Q9Y5B6	1
P62995	P62995	Q9Y5S9	1
P62995	P62995	Q9Y6A4	1
P63000	P63000	P25054	1
P63000	P63000	P46940	1
P63000	P63000	P63000	1
P63000	P63000	Q14185	1
P63000	P63000	Q92556	1
P63001	P63001	P60766	1
P63001	P63001	P63001	1
P63001	P63001	Q60838	1
P63001	P63001	Q62074	1
P63001	P63001	Q80Y83	1
P63001	P63001	Q99NH2	1
P63001	P63001	Q9JK83	1
P63001	P63001	Q9Z101	1
P63002	P63002	P63002	1
P63002	P63002	Q08122	1
P63010	P63010	P17427	1
P63010	P63010	P62743	1
P63010	P63010	P63010	1
